2020 ->-142.0999984741211
OTOVO ->0.0
OTS ->2.370000123977661
PARB ->-168.8000030517578
PCIB ->-63.650001525878906
PEN ->-11.979999065399184
PEXIP ->5.400001525878906
PGS ->-9.333000183105469
PHLY ->4.6999969482421875
PHO ->-260.8000030517578
PLT ->-171.5
PMG ->58.100000381469734
PNOR ->-4.246000051498413
POL ->-9.299999237060547
PPG ->0.0
PROT ->-167.1999969482422
PROXI ->0.0
PRS ->2.0139999389648438
PRYME ->-143.0
PSE ->16.319999933242798
PSKY ->0.0
QEC ->-2.3660000562667847
QFR ->-16.929999828338623
QFUEL ->-62.499996185302734
RAKP ->-1.890000343322754
RANA ->0.0
REACH ->7.919999957084656
RECSI ->-61.959999084472656
RING ->1276.0
RISH ->0.0
RIVER ->-78.0
ROM ->-0.5800000429153442
ROMSB ->0.0
SACAM ->-0.7999992370605469
SADG ->-236.20000457763672
SAGA ->-5.420000195503235
SALM ->469.6000061035156
SALME ->6.718999862670898
SASNO ->0.11300003528594971
SATS ->18.864999771118157
SBANK ->-70.0999984741211
SBO ->-290.60000228881836
SBX ->17.009997129440308
SCANA ->-2.129999876022339
SCATC ->221.1999969482422
SCHA ->-962.3000183105469
SCHB ->313.4000244140625
SDRL ->0.12999987602233887
SDSD ->-2.7070000171661377
SHLF ->-4.539999961853027
SIKRI ->87.01000213623047
SIOFF ->-108.5
SKAND ->0.0
SKI ->-4.480000019073486
SKUE ->494.0
SMOP ->0.0
SNI ->-2.899993896484375
SNOR ->-112.0
SOAG ->-474.0
SOFF ->-3419.659999847412
SOFTX ->-1.0999984741210938
SOGN ->0.0
SOHO ->0.0
SOLON ->24.500001907348633
SOON ->0.0
SOR ->-244.0
SPOG ->111.29999923706055
SPOL ->-500.3000030517578
SRBNK ->-100.5
SSG ->-23.80000114440918
STATT ->2.680000066757202
STB ->-146.82000732421875
STRO ->0.1999988555908203
SUBC ->-205.3000030517578
SUNSB ->0.0
SVEG ->-211.60000228881836
TECH ->-7.190000295639038
TECO ->0.0
TEKNA ->0.0
TEL ->-482.4499969482422
TGS ->-540.1500091552734
THIN ->-1.0937999784946442
TIETO ->-14.800018310546875
TOM ->-1072.0000305175781
TOTG ->-470.0
TRE ->-17.799999237060547
TRVX ->-9.329998970031738
TYSB ->0.0
ULTI ->-154.5999984741211
VACC ->-84.0
VEI ->-261.00000762939453
VISTN ->-45.94999885559083
VOLUE ->0.0
VOW ->-45.0
VVL ->-164.0
WAWI ->-106.22999954223634
WILS ->42.099998474121094
WSTEP ->114.4000015258789
WWI ->356.0
WWIB ->-208.0
XPLRA ->121.35000228881836
XXL ->3.224999427795403
YAR ->307.1999816894531
ZAL ->-94.69999504089355
ZAP ->0.0
ZENA ->0.0021999999880790017
ZWIPE ->19.5
Count Positive ->102 Count Negative ->220 Total ->-13325.904093779624
